user,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,n_total,liquidated,repay_ratio,liquidation_ratio,wallet_age,tx_frequency,time_variance,net_deposit,net_borrow,utilization,avg_tx_size,credit_score
0x049fd5a7f8d59517260baefa017b79c0ce19f0d0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1107676.6161975926,0.0,0.0,1107676.6161975926,0.0
0x04a0362b7c9bea7f14cbf1f33998ff552f731ce0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1002351.8826884935,0.0,0.0,1002351.8826884935,0.0
0x04a0457e163ceef461efc4d0c2a374bad426d1dc,5,1,1,12,0,19,0,1.0,0.0,3.4164930555555557,5.561258194013924,1267589667.6944444,0.0,0.0,0.0,5.709418505508204e+19,58.8903219253981
0x04a157b002ddedb4b3fdbf6b0cd338be5acfd033,0,0,0,3,0,3,0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.568937627907367e+19,16.1678276049318
0x04a2bcf8c95199866c4ccd9362fdee975eee406d,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1092542.4879600005,0.0,0.0,1092542.4879600005,0.0
0x04a38539567837666eb4ee6e027005d14410386d,31,12,5,8,0,56,0,0.4166666666666667,0.0,119.32925925925926,0.4692897647033263,132813566380.42513,2.0775980835542588e+22,7.231952928331947e+21,0.34809200997913203,6.006421628229697e+20,232.7467701252011
0x04a3d07f39b643948c39ad3d3aa24ef03a6b7cfc,4,0,0,4,0,8,0,1.0,0.0,85.9770949074074,0.09304803806892474,6121295477929.429,3.5636489561435996e+20,0.0,0.0,2.601826057997771e+20,256.7622597266401
0x04a43f4584372de76a0c687b3225ac6abeb63504,3,0,0,2,0,5,0,1.0,0.0,6.372430555555556,0.7846299706853525,36045032938.75,4.5042892636151566e+20,0.0,0.0,3.102639880430128e+20,15.562245835261308
0x04a4a3260cfa79343b0d5165dfed70c3236fab43,15,0,0,2,0,17,0,1.0,0.0,17.370219907407407,0.9786865158080394,2511182453.9023438,8.910379200062491e+17,0.0,0.0,5.241399531144147e+16,39.95927319032137
0x04a4f6e1c8b1917fd9b937a44b5d35fc3e12a275,1,1,0,0,0,2,0,0.0,0.0,0.0,2.0,0.0,2.1230756246160084e+16,4555956276000018.0,0.2145922746781116,1.2893356261080052e+16,37.03570640787018
